Step:167	 mouse A(0,32,33) dir=0	 mouse B(1,91,80) dir=1
Step:168	 mouse A(0,33,33) dir=0	 mouse B(1,91,79) dir=1
Step:169	 mouse A(0,33,32) dir=0	 mouse B(1,90,79) dir=1
Step:170	 mouse A(0,33,31) dir=0	 mouse B(1,89,79) dir=1
Step:171	 mouse A(0,32,31) dir=0	 mouse B(1,89,80) dir=0
Step:172	 mouse A(0,31,31) dir=0	 mouse B(1,89,81) dir=0
Step:173	 mouse A(0,31,30) dir=0	 mouse B(1,89,82) dir=0
Step:174	 mouse A(0,31,29) dir=0	 mouse B(1,89,83) dir=0
Step:175	 mouse A(0,31,28) dir=0	 mouse B(1,89,84) dir=0
Step:176	 mouse A(0,31,27) dir=0	 mouse B(1,89,85) dir=0
Step:177	 mouse A(0,31,26) dir=0	 mouse B(1,90,85) dir=0
Step:178	 mouse A(0,31,25) dir=0	 mouse B(1,91,85) dir=0
Step:179	 mouse A(0,31,24) dir=0	 mouse B(1,91,84) dir=0
Step:180	 mouse A(0,31,23) dir=0	 mouse B(1,91,83) dir=0
Step:181	 mouse A(0,30,23) dir=0	 mouse B(1,92,83) dir=0
Step:182	 mouse A(0,29,23) dir=0	 mouse B(1,93,83) dir=0
Step:183	 mouse A(0,29,22) dir=0	 mouse B(1,94,83) dir=0
Step:184	 mouse A(0,29,21) dir=0	 mouse B(1,95,83) dir=0
Step:185	 mouse A(0,28,21) dir=0	 mouse B(1,95,84) dir=0
Step:186	 mouse A(0,27,21) dir=0	 mouse B(1,95,85) dir=0
Step:187	 mouse A(0,26,21) dir=0	 mouse B(1,94,85) dir=0
Step:188	 mouse A(0,25,21) dir=0	 mouse B(1,93,85) dir=0
Step:189	 mouse A(0,25,20) dir=0	 mouse B(1,93,86) dir=0
Step:190	 mouse A(0,25,19) dir=0	 mouse B(1,93,87) dir=0
Step:191	 mouse A(0,26,19) dir=0	 mouse B(1,94,87) dir=0
Step:192	 mouse A(0,27,19) dir=0	 mouse B(1,95,87) dir=0
Step:193	 mouse A(0,28,19) dir=0	 mouse B(1,95,88) dir=0
Step:194	 mouse A(0,29,19) dir=0	 mouse B(1,95,89) dir=0
Step:195	 mouse A(0,29,18) dir=0	 mouse B(1,96,89) dir=0
Step:196	 mouse A(0,29,17) dir=0	 mouse B(1,97,89) dir=0
Step:197	 mouse A(0,29,16) dir=0	 mouse B(1,97,90) dir=0
Step:198	 mouse A(0,29,15) dir=0	 mouse B(1,97,91) dir=0
Step:199	 mouse A(0,28,15) dir=0	 mouse B(1,98,91) dir=0
Step:200	 mouse A(0,27,15) dir=0	 mouse B(1,99,91) dir=0
Step:201	 mouse A(0,26,15) dir=0	 mouse B(1,99,90) dir=0
Step:202	 mouse A(0,25,15) dir=0	 mouse B(1,99,89) dir=0
Step:203	 mouse A(0,24,15) dir=0	 mouse B(1,99,88) dir=0
Step:204	 mouse A(0,23,15) dir=0	 mouse B(1,99,87) dir=0
Step:205	 mouse A(0,23,14) dir=0	 mouse B(1,99,86) dir=0
Step:206	 mouse A(0,23,13) dir=0	 mouse B(1,99,85) dir=0
Step:207	 mouse A(0,23,12) dir=0	 mouse B(1,99,84) dir=0
Step:208	 mouse A(0,23,11) dir=0	 mouse B(1,99,83) dir=0
Step:209	 mouse A(0,24,11) dir=0	 mouse B(1,99,82) dir=0
Step:210	 mouse A(0,25,11) dir=0	 mouse B(1,99,81) dir=0
Step:211	 mouse A(0,25,12) dir=0	 mouse B(1,99,80) dir=0
Step:212	 mouse A(0,25,13) dir=0	 mouse B(1,99,79) dir=0
Step:213	 mouse A(0,26,13) dir=0	 mouse B(1,99,78) dir=0
Step:214	 mouse A(0,27,13) dir=0	 mouse B(1,99,77) dir=0
Step:215	 mouse A(0,28,13) dir=0	 mouse B(1,99,76) dir=0
Step:216	 mouse A(0,29,13) dir=0	 mouse B(1,99,75) dir=0
Step:217	 mouse A(0,29,12) dir=0	 mouse B(1,99,74) dir=0
Step:218	 mouse A(0,29,11) dir=0	 mouse B(1,99,73) dir=0
Step:219	 mouse A(0,30,11) dir=0	 mouse B(1,99,72) dir=0
Step:220	 mouse A(0,31,11) dir=0	 mouse B(1,99,71) dir=0
Step:221	 mouse A(0,32,11) dir=0	 mouse B(1,99,70) dir=0
Step:222	 mouse A(0,33,11) dir=0	 mouse B(1,99,69) dir=0
Step:223	 mouse A(0,33,12) dir=0	 mouse B(1,99,68) dir=0
Step:224	 mouse A(0,33,13) dir=0	 mouse B(1,99,67) dir=0
Step:225	 mouse A(0,32,13) dir=0	 mouse B(1,99,66) dir=0
Step:226	 mouse A(0,31,13) dir=0	 mouse B(1,99,65) dir=0
Step:227	 mouse A(0,31,14) dir=0	 mouse B(1,99,64) dir=0
Step:228	 mouse A(0,31,15) dir=0	 mouse B(1,99,63) dir=0
Step:229	 mouse A(0,31,16) dir=0	 mouse B(1,98,63) dir=0
Step:230	 mouse A(0,31,17) dir=0	 mouse B(1,97,63) dir=0
Step:231	 mouse A(0,32,17) dir=0	 mouse B(1,97,62) dir=0
Step:232	 mouse A(0,33,17) dir=0	 mouse B(1,97,61) dir=0
Step:233	 mouse A(0,34,17) dir=0	 mouse B(1,96,61) dir=0
Step:234	 mouse A(0,35,17) dir=0	 mouse B(1,95,61) dir=0
Step:235	 mouse A(0,35,16) dir=0	 mouse B(1,95,60) dir=0
Step:236	 mouse A(0,35,15) dir=0	 mouse B(1,95,59) dir=0
Step:237	 mouse A(0,36,15) dir=0	 mouse B(1,96,59) dir=0
Step:238	 mouse A(0,37,15) dir=0	 mouse B(1,97,59) dir=0
Step:239	 mouse A(0,37,16) dir=0	 mouse B(1,98,59) dir=0
