Step:140	 mouse A(0,19,47)	 mouse B(1,99,87)
Step:141	 mouse A(0,19,48)	 mouse B(1,98,87)
Step:142	 mouse A(0,19,49)	 mouse B(1,97,87)
Step:143	 mouse A(0,20,49)	 mouse B(1,96,87)
Step:144	 mouse A(0,21,49)	 mouse B(1,95,87)
Step:145	 mouse A(0,22,49)	 mouse B(1,95,86)
Step:146	 mouse A(0,23,49)	 mouse B(1,95,85)
Step:147	 mouse A(0,23,48)	 mouse B(1,96,85)
Step:148	 mouse A(0,23,47)	 mouse B(1,97,85)
Step:149	 mouse A(0,23,46)	 mouse B(1,98,85)
Step:150	 mouse A(0,23,45)	 mouse B(1,99,85)
Step:151	 mouse A(0,23,44)	 mouse B(1,99,84)
Step:152	 mouse A(0,23,43)	 mouse B(1,99,83)
Step:153	 mouse A(0,23,42)	 mouse B(1,99,82)
Step:154	 mouse A(0,23,41)	 mouse B(1,99,81)
Step:155	 mouse A(0,22,41)	 mouse B(1,99,80)
Step:156	 mouse A(0,21,41)	 mouse B(1,99,79)
Step:157	 mouse A(0,21,42)	 mouse B(1,99,78)
Step:158	 mouse A(0,21,43)	 mouse B(1,99,77)
Step:159	 mouse A(0,21,44)	 mouse B(1,98,77)
Step:160	 mouse A(0,21,45)	 mouse B(1,97,77)
Step:161	 mouse A(0,21,46)	 mouse B(1,97,76)
Step:162	 mouse A(0,21,47)	 mouse B(1,97,75)
Step:163	 mouse A(0,21,46)	 mouse B(1,97,74)
Step:164	 mouse A(0,21,45)	 mouse B(1,97,73)
Step:165	 mouse A(0,21,44)	 mouse B(1,96,73)
Step:166	 mouse A(0,21,43)	 mouse B(1,95,73)
Step:167	 mouse A(0,21,42)	 mouse B(1,94,73)
Step:168	 mouse A(0,21,41)	 mouse B(1,93,73)
Step:169	 mouse A(0,20,41)	 mouse B(1,93,72)
Step:170	 mouse A(0,19,41)	 mouse B(1,93,71)
Step:171	 mouse A(0,19,40)	 mouse B(1,93,70)
Step:172	 mouse A(0,19,39)	 mouse B(1,93,69)
Step:173	 mouse A(0,19,38)	 mouse B(1,94,69)
Step:174	 mouse A(0,19,37)	 mouse B(1,95,69)
Step:175	 mouse A(0,20,37)	 mouse B(1,96,69)
Step:176	 mouse A(0,21,37)	 mouse B(1,97,69)
Step:177	 mouse A(0,21,38)	 mouse B(1,97,68)
Step:178	 mouse A(0,21,39)	 mouse B(1,97,67)
Step:179	 mouse A(0,22,39)	 mouse B(1,96,67)
Step:180	 mouse A(0,23,39)	 mouse B(1,95,67)
Step:181	 mouse A(0,24,39)	 mouse B(1,95,66)
Step:182	 mouse A(0,25,39)	 mouse B(1,95,65)
Step:183	 mouse A(0,26,39)	 mouse B(1,96,65)
Step:184	 mouse A(0,27,39)	 mouse B(1,97,65)
Step:185	 mouse A(0,27,38)	 mouse B(1,98,65)
Step:186	 mouse A(0,27,37)	 mouse B(1,99,65)
Step:187	 mouse A(0,26,37)	 mouse B(1,99,64)
Step:188	 mouse A(0,25,37)	 mouse B(1,99,63)
Step:189	 mouse A(0,24,37)	 mouse B(1,99,62)
Step:190	 mouse A(0,23,37)	 mouse B(1,99,61)
Step:191	 mouse A(0,23,36)	 mouse B(1,98,61)
Step:192	 mouse A(0,23,35)	 mouse B(1,97,61)
Step:193	 mouse A(0,23,34)	 mouse B(1,97,62)
Step:194	 mouse A(0,23,33)	 mouse B(1,97,63)
Step:195	 mouse A(0,23,32)	 mouse B(1,96,63)
Step:196	 mouse A(0,23,31)	 mouse B(1,95,63)
Step:197	 mouse A(0,23,30)	 mouse B(1,94,63)
Step:198	 mouse A(0,23,29)	 mouse B(1,93,63)
Step:199	 mouse A(0,24,29)	 mouse B(1,93,62)
Step:200	 mouse A(0,25,29)	 mouse B(1,93,61)
Step:201	 mouse A(0,25,30)	 mouse B(1,92,61)
Step:202	 mouse A(0,25,31)	 mouse B(1,91,61)
Step:203	 mouse A(0,26,31)	 mouse B(1,91,62)
Step:204	 mouse A(0,27,31)	 mouse B(1,91,63)
Step:205	 mouse A(0,28,31)	 mouse B(1,91,64)
Step:206	 mouse A(0,29,31)	 mouse B(1,91,65)
Step:207	 mouse A(0,29,32)	 mouse B(1,90,65)
Step:208	 mouse A(0,29,33)	 mouse B(1,89,65)
